AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Get Point,Lose Point,Game Time,Start Time,End Time,Spectators,Jury,Chief Umpire,Sub Umpire,Judgeman,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
121,56,9,46.3,11.20,20,9,4,45.0,16,3.20,103,3,15,25,5.3,84,41.0,22.0,61.9,101,2018-10-26,2018,10,26,,大田区総合体育館,サントリーサンバーズ,JTサンダーズ,荻野正二,酒井大祐,3,2,5,Win,104,103,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Home,122,58,7,47.5,11.60,28,17,3,60.7,12,2.40,104,6,18,17,5.5,87,36.0,24.0,55.2
122,58,7,47.5,11.60,28,17,3,60.7,12,2.40,104,6,18,17,5.5,87,36.0,24.0,55.2,101,2018-10-26,2018,10,26,,大田区総合体育館,JTサンダーズ,サントリーサンバーズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,2,3,5,Lose,103,104,122,19:31,21:49,3000,小柴滋,浅井唯由,澤達大,塚本健二,Away,121,56,9,46.3,11.20,20,9,4,45.0,16,3.20,103,3,15,25,5.3,84,41.0,22.0,61.9
79,39,5,49.4,13.00,13,5,3,38.5,7,2.33,73,4,13,21,8.2,42,17.0,11.0,53.6,104,2018-10-27,2018,10,27,,松本市総合体育館,東レアローズ,大分三好ヴァイセアドラー,小林敦,篠田歩,3,0,3,Win,75,54,73,12:00,13:19,940,勝又正,江下毅,森口豊,内藤義人,Home,83,31,10,37.3,10.33,28,11,4,39.3,4,1.33,56,1,13,14,2.2,58,21.0,16.0,50.0
83,31,10,37.3,10.33,28,11,4,39.3,4,1.33,56,1,13,14,2.2,58,21.0,16.0,50.0,104,2018-10-27,2018,10,27,,松本市総合体育館,大分三好ヴァイセアドラー,東レアローズ,小川貴史,小林尚登,0,3,3,Lose,54,75,73,12:00,13:19,940,勝又正,江下毅,森口豊,内藤義人,Away,79,39,5,49.4,13.00,13,5,3,38.5,7,2.33,73,4,13,21,8.2,42,17.0,11.0,53.6
80,42,4,52.5,14.00,4,3,0,75.0,4,1.33,78,3,12,18,5.8,48,25.0,9.0,61.5,102,2018-10-27,2018,10,27,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,豊田合成トレフェルサ,FC東京,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,3,0,3,Win,79,64,86,13:00,14:39,2100,利根川忠史,西中野健,城智人,戸田幸喜,Home,91,38,8,41.8,12.67,11,2,1,18.2,5,1.67,65,4,16,11,4.2,64,29.0,16.0,57.8
91,38,8,41.8,12.67,11,2,1,18.2,5,1.67,65,4,16,11,4.2,64,29.0,16.0,57.8,102,2018-10-27,2018,10,27,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,FC東京,豊田合成トレフェルサ,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,0,3,3,Lose,64,79,86,13:00,14:39,2100,利根川忠史,西中野健,城智人,戸田幸喜,Away,80,42,4,52.5,14.00,4,3,0,75.0,4,1.33,78,3,12,18,5.8,48,25.0,9.0,61.5
108,53,5,49.1,13.25,13,4,1,30.8,9,2.25,95,6,12,32,11.6,62,24.0,20.0,54.8,103,2018-10-27,2018,10,27,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,ジェイテクトSTINGS,堺ブレイザーズ,高橋慎治,若山智昭,3,1,4,Win,96,80,111,16:00,18:00,1800,利根川忠史,山本晋五,千代延靖夫,天野五月,Home,116,50,8,43.1,12.50,28,12,2,42.9,10,2.50,81,1,18,18,1.2,79,26.0,19.0,44.9
116,50,8,43.1,12.50,28,12,2,42.9,10,2.50,81,1,18,18,1.2,79,26.0,19.0,44.9,103,2018-10-27,2018,10,27,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,堺ブレイザーズ,ジェイテクトSTINGS,真保綱一郎,上杉徹,1,3,4,Lose,80,96,111,16:00,18:00,1800,利根川忠史,山本晋五,千代延靖夫,天野五月,Away,108,53,5,49.1,13.25,13,4,1,30.8,9,2.25,95,6,12,32,11.6,62,24.0,20.0,54.8
72,31,6,43.1,10.33,13,5,3,38.5,3,1.00,61,4,12,15,7.8,59,26.0,17.0,58.5,105,2018-10-27,2018,10,27,,松本市総合体育館,VC長野トライデンツ,パナソニックパンサーズ,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,0,3,3,Lose,59,75,71,16:00,17:24,1470,勝又正,原啓之,戸川太輔,内藤義人,Home,73,42,6,57.5,14.00,13,8,2,61.5,9,3.00,73,5,13,16,7.9,49,22.0,12.0,57.1
73,42,6,57.5,14.00,13,8,2,61.5,9,3.00,73,5,13,16,7.9,49,22.0,12.0,57.1,105,2018-10-27,2018,10,27,,松本市総合体育館,パナソニックパンサーズ,VC長野トライデンツ,川村慎二,行武広貴,3,0,3,Win,75,59,71,16:00,17:24,1470,勝又正,原啓之,戸川太輔,内藤義人,Away,72,31,6,43.1,10.33,13,5,3,38.5,3,1.00,61,4,12,15,7.8,59,26.0,17.0,58.5
95,45,3,47.4,15.00,19,8,1,42.1,10,3.33,74,0,9,15,2.0,54,26.0,18.0,64.8,108,2018-10-28,2018,10,28,,松本市総合体育館,VC長野トライデンツ,大分三好ヴァイセアドラー,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,3,0,3,Win,75,65,83,12:00,13:36,1020,勝又正,森口豊,江下毅,橋詰清美,Home,106,46,7,43.4,15.33,28,15,3,53.6,5,1.67,66,2,11,10,2.7,65,37.0,13.0,66.9
106,46,7,43.4,15.33,28,15,3,53.6,5,1.67,66,2,11,10,2.7,65,37.0,13.0,66.9,108,2018-10-28,2018,10,28,,松本市総合体育館,大分三好ヴァイセアドラー,VC長野トライデンツ,小川貴史,ﾑﾚｲﾎﾟｰﾙ,0,3,3,Lose,65,75,83,12:00,13:36,1020,勝又正,森口豊,江下毅,橋詰清美,Away,95,45,3,47.4,15.00,19,8,1,42.1,10,3.33,74,0,9,15,2.0,54,26.0,18.0,64.8
130,51,6,39.2,12.75,20,10,1,50.0,17,4.25,97,2,10,36,8.8,62,19.0,17.0,44.4,106,2018-10-28,2018,10,28,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,豊田合成トレフェルサ,堺ブレイザーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,3,1,4,Win,98,82,115,13:00,15:09,2300,利根川忠史,千代延靖夫,山本晋五,三角希実,Home,127,50,8,39.4,12.50,37,13,3,35.1,9,2.25,83,3,19,25,5.4,86,31.0,18.0,46.5
127,50,8,39.4,12.50,37,13,3,35.1,9,2.25,83,3,19,25,5.4,86,31.0,18.0,46.5,106,2018-10-28,2018,10,28,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,堺ブレイザーズ,豊田合成トレフェルサ,真保綱一郎,上杉徹,1,3,4,Lose,82,98,115,13:00,15:09,2300,利根川忠史,千代延靖夫,山本晋五,三角希実,Away,130,51,6,39.2,12.75,20,10,1,50.0,17,4.25,97,2,10,36,8.8,62,19.0,17.0,44.4
76,45,3,59.2,15.00,10,6,1,60.0,9,3.00,74,2,11,16,4.4,46,16.0,16.0,52.2,109,2018-10-28,2018,10,28,,松本市総合体育館,パナソニックパンサーズ,東レアローズ,川村慎二,行武広貴,3,0,3,Win,75,58,74,15:00,16:20,1500,勝又正,戸川太輔,原啓之,樋口裕晃,Home,80,33,4,41.2,11.00,17,7,3,41.2,8,2.67,59,1,12,14,2.5,62,34.0,11.0,63.7
80,33,4,41.2,11.00,17,7,3,41.2,8,2.67,59,1,12,14,2.5,62,34.0,11.0,63.7,109,2018-10-28,2018,10,28,,松本市総合体育館,東レアローズ,パナソニックパンサーズ,小林敦,篠田歩,0,3,3,Lose,58,75,74,15:00,16:20,1500,勝又正,戸川太輔,原啓之,樋口裕晃,Away,76,45,3,59.2,15.00,10,6,1,60.0,9,3.00,74,2,11,16,4.4,46,16.0,16.0,52.2
104,49,6,47.1,16.33,14,8,0,57.1,5,1.67,80,6,11,23,11.2,58,22.0,21.0,56.0,107,2018-10-28,2018,10,28,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,ジェイテクトSTINGS,FC東京,高橋慎治,若山智昭,3,0,3,Win,82,71,86,16:30,18:02,1300,利根川忠史,城智人,西中野健,松本冴香,Home,92,46,6,50.0,15.33,13,7,0,53.8,7,2.33,73,1,14,15,1.7,67,24.0,17.0,48.5
92,46,6,50.0,15.33,13,7,0,53.8,7,2.33,73,1,14,15,1.7,67,24.0,17.0,48.5,107,2018-10-28,2018,10,28,,小牧スポーツ公園総合体育館（パークアリーナ小牧）,FC東京,ジェイテクトSTINGS,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,0,3,3,Lose,71,82,86,16:30,18:02,1300,利根川忠史,城智人,西中野健,松本冴香,Away,104,49,6,47.1,16.33,14,8,0,57.1,5,1.67,80,6,11,23,11.2,58,22.0,21.0,56.0
78,38,2,48.7,12.67,13,4,1,30.8,9,3.00,74,5,12,14,7.4,45,26.0,10.0,68.9,112,2018-11-03,2018,11,03,,福井県営体育館,豊田合成トレフェルサ,大分三好ヴァイセアドラー,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,3,0,3,Win,75,62,86,12:00,13:32,1000,伊藤博之,江下毅,原啓之,田畑亮祐,Home,88,39,5,44.3,13.00,28,14,1,50.0,4,1.33,63,4,14,9,4.4,57,26.0,17.0,60.5
88,39,5,44.3,13.00,28,14,1,50.0,4,1.33,63,4,14,9,4.4,57,26.0,17.0,60.5,112,2018-11-03,2018,11,03,,福井県営体育館,大分三好ヴァイセアドラー,豊田合成トレフェルサ,小川貴史,小林尚登,0,3,3,Lose,62,75,86,12:00,13:32,1000,伊藤博之,江下毅,原啓之,田畑亮祐,Away,78,38,2,48.7,12.67,13,4,1,30.8,9,3.00,74,5,12,14,7.4,45,26.0,10.0,68.9
81,46,6,56.8,15.33,18,11,4,61.1,9,3.00,73,2,12,13,3.1,46,29.0,9.0,72.8,110,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,サントリーサンバーズ,VC長野トライデンツ,荻野正二,ﾚｵﾅﾙﾄﾞｶﾙﾊﾞﾘｮ,3,0,3,Win,75,50,76,13:00,14:22,1000,石井洋壮,國頭亮太,冨田博一,藤井勇紀,Home,84,24,6,28.6,8.00,15,1,2,6.7,4,1.33,52,3,6,8,6.7,60,28.0,19.0,62.5
84,24,6,28.6,8.00,15,1,2,6.7,4,1.33,52,3,6,8,6.7,60,28.0,19.0,62.5,110,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,VC長野トライデンツ,サントリーサンバーズ,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,0,3,3,Lose,50,75,76,13:00,14:22,1000,石井洋壮,國頭亮太,冨田博一,藤井勇紀,Away,81,46,6,56.8,15.33,18,11,4,61.1,9,3.00,73,2,12,13,3.1,46,29.0,9.0,72.8
114,55,6,48.2,13.75,16,10,2,62.5,11,2.75,98,4,18,15,3.3,65,42.0,12.0,73.8,113,2018-11-03,2018,11,03,,福井県営体育館,パナソニックパンサーズ,ジェイテクトSTINGS,川村慎二,古田博幸,3,1,4,Win,99,86,108,15:00,16:57,1600,伊藤博之,森口豊,服部篤史,田畑亮祐,Home,118,49,7,41.5,12.25,26,13,2,50.0,7,1.75,87,4,21,8,0.9,78,39.0,22.0,64.1
118,49,7,41.5,12.25,26,13,2,50.0,7,1.75,87,4,21,8,0.9,78,39.0,22.0,64.1,113,2018-11-03,2018,11,03,,福井県営体育館,ジェイテクトSTINGS,パナソニックパンサーズ,高橋慎治,若山智昭,1,3,4,Lose,86,99,108,15:00,16:57,1600,伊藤博之,森口豊,服部篤史,田畑亮祐,Away,114,55,6,48.2,13.75,16,10,2,62.5,11,2.75,98,4,18,15,3.3,65,42.0,12.0,73.8
65,37,5,56.9,12.33,10,7,1,70.0,11,3.67,74,8,13,20,13.2,44,18.0,9.0,51.1,111,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,JTサンダーズ,東レアローズ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,菅直哉,3,0,3,Win,75,54,72,16:00,17:25,1600,石井洋壮,千代延靖夫,山本和良,赤瀬広幸,Home,70,26,5,37.1,8.67,17,6,1,35.3,8,2.67,55,0,11,17,2.7,57,24.0,14.0,54.4
70,26,5,37.1,8.67,17,6,1,35.3,8,2.67,55,0,11,17,2.7,57,24.0,14.0,54.4,111,2018-11-03,2018,11,03,,シシンヨーオークアリーナ（呉市総合体育館）,東レアローズ,JTサンダーズ,小林敦,篠田歩,0,3,3,Lose,54,75,72,16:00,17:25,1600,石井洋壮,千代延靖夫,山本和良,赤瀬広幸,Away,65,37,5,56.9,12.33,10,7,1,70.0,11,3.67,74,8,13,20,13.2,44,18.0,9.0,51.1
98,46,6,46.9,11.50,21,10,0,47.6,10,2.50,97,7,21,23,7.7,72,20.0,23.0,43.8,114,2018-11-03,2018,11,03,,堺市金岡公園体育館,堺ブレイザーズ,FC東京,真保綱一郎,坂梨朋彦,3,1,4,Win,98,90,114,16:00,18:10,1500,田野昭彦,戸川太輔,中山健,和佐田信行,Home,109,54,11,49.5,13.50,21,11,2,52.4,7,1.75,91,0,19,29,2.7,73,22.0,25.0,47.3
109,54,11,49.5,13.50,21,11,2,52.4,7,1.75,91,0,19,29,2.7,73,22.0,25.0,47.3,114,2018-11-03,2018,11,03,,堺市金岡公園体育館,FC東京,堺ブレイザーズ,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,1,3,4,Lose,90,98,114,16:00,18:10,1500,田野昭彦,戸川太輔,中山健,和佐田信行,Away,98,46,6,46.9,11.50,21,10,0,47.6,10,2.50,97,7,21,23,7.7,72,20.0,23.0,43.8
105,56,7,53.3,14.00,20,11,0,55.0,9,2.25,99,7,23,14,4.8,77,54.0,11.0,77.3,115,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,東レアローズ,サントリーサンバーズ,小林敦,篠田歩,3,1,4,Win,100,96,109,12:00,13:58,1100,石井洋壮,冨田博一,國頭亮太,奥先裕美,Home,99,50,11,50.5,12.50,26,14,4,53.8,9,2.25,97,3,17,12,1.8,73,47.0,12.0,72.6
99,50,11,50.5,12.50,26,14,4,53.8,9,2.25,97,3,17,12,1.8,73,47.0,12.0,72.6,115,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,サントリーサンバーズ,東レアローズ,荻野正二,ﾚｵﾅﾙﾄﾞｶﾙﾊﾞﾘｮ,1,3,4,Lose,96,100,109,12:00,13:58,1100,石井洋壮,冨田博一,國頭亮太,奥先裕美,Away,105,56,7,53.3,14.00,20,11,0,55.0,9,2.25,99,7,23,14,4.8,77,54.0,11.0,77.3
102,49,5,48.0,12.25,18,7,2,38.9,13,3.25,97,4,10,13,4.9,60,34.0,17.0,70.8,117,2018-11-04,2018,11,04,,福井県営体育館,ジェイテクトSTINGS,大分三好ヴァイセアドラー,高橋慎治,若山智昭,3,1,4,Win,98,79,100,12:00,13:49,1100,伊藤博之,原啓之,江下毅,田畑亮祐,Home,121,55,10,45.5,13.75,35,16,4,45.7,8,2.00,80,1,19,9,-1.9,85,46.0,26.0,69.4
121,55,10,45.5,13.75,35,16,4,45.7,8,2.00,80,1,19,9,-1.9,85,46.0,26.0,69.4,117,2018-11-04,2018,11,04,,福井県営体育館,大分三好ヴァイセアドラー,ジェイテクトSTINGS,小川貴史,小林尚登,1,3,4,Lose,79,98,100,12:00,13:49,1100,伊藤博之,原啓之,江下毅,田畑亮祐,Away,102,49,5,48.0,12.25,18,7,2,38.9,13,3.25,97,4,10,13,4.9,60,34.0,17.0,70.8
70,45,3,64.3,15.00,10,9,0,90.0,6,2.00,75,3,14,9,2.3,45,25.0,11.0,67.8,118,2018-11-04,2018,11,04,,福井県営体育館,パナソニックパンサーズ,豊田合成トレフェルサ,川村慎二,行武広貴,3,0,3,Win,76,61,89,15:00,16:35,1500,伊藤博之,服部篤史,森口豊,田畑亮祐,Home,71,35,4,49.3,11.67,16,4,2,25.0,6,2.00,62,3,16,7,1.2,60,41.0,8.0,75.0
71,35,4,49.3,11.67,16,4,2,25.0,6,2.00,62,3,16,7,1.2,60,41.0,8.0,75.0,118,2018-11-04,2018,11,04,,福井県営体育館,豊田合成トレフェルサ,パナソニックパンサーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,深津貴之,0,3,3,Lose,61,76,89,15:00,16:35,1500,伊藤博之,服部篤史,森口豊,田畑亮祐,Away,70,45,3,64.3,15.00,10,9,0,90.0,6,2.00,75,3,14,9,2.3,45,25.0,11.0,67.8
74,43,5,58.1,14.33,17,11,2,64.7,9,3.00,73,2,12,18,4.8,53,27.0,15.0,65.1,116,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,JTサンダーズ,VC長野トライデンツ,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,菅直哉,3,0,3,Win,75,61,75,15:00,16:28,1600,石井洋壮,山本和良,千代延靖夫,友成文恵,Home,87,42,9,48.3,14.00,11,4,3,36.4,0,0.00,63,0,10,11,0.4,61,26.0,17.0,56.6
87,42,9,48.3,14.00,11,4,3,36.4,0,0.00,63,0,10,11,0.4,61,26.0,17.0,56.6,116,2018-11-04,2018,11,04,,シシンヨーオークアリーナ（呉市総合体育館）,VC長野トライデンツ,JTサンダーズ,笹川星哉,ｱｰﾏﾂﾏｻｼﾞｪﾃﾞｨ,0,3,3,Lose,61,75,75,15:00,16:28,1600,石井洋壮,山本和良,千代延靖夫,友成文恵,Away,74,43,5,58.1,14.33,17,11,2,64.7,9,3.00,73,2,12,18,4.8,53,27.0,15.0,65.1
72,37,6,51.4,12.33,16,9,3,56.2,6,2.00,59,1,9,11,2.5,60,22.0,19.0,52.5,119,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,ジェイテクトSTINGS,JTサンダーズ,高橋慎治,若山智昭,0,3,3,Lose,57,75,68,13:00,14:14,2400,伊藤博之,江下毅,村中伸,渡部あかね,Home,70,41,4,58.6,13.67,13,8,0,61.5,7,2.33,73,7,9,16,12.0,50,21.0,17.0,59.0
70,41,4,58.6,13.67,13,8,0,61.5,7,2.33,73,7,9,16,12.0,50,21.0,17.0,59.0,119,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,JTサンダーズ,ジェイテクトSTINGS,ｳﾞｺｳﾞｨｯﾁｳﾞｪｾﾘﾝ,ｻﾄﾚﾙﾃｨﾈ,3,0,3,Win,75,57,68,13:00,14:14,2400,伊藤博之,江下毅,村中伸,渡部あかね,Away,72,37,6,51.4,12.33,16,9,3,56.2,6,2.00,59,1,9,11,2.5,60,22.0,19.0,52.5
105,58,6,55.2,14.50,14,3,2,21.4,9,2.25,95,5,13,25,8.4,65,30.0,19.0,60.8,121,2018-11-10,2018,11,10,,墨田区総合体育館,FC東京,大分三好ヴァイセアドラー,ﾛﾃﾞｨｱﾚｯｻﾝﾄﾞﾛ,坂本将康,3,1,4,Win,96,78,95,13:00,14:51,1800,大塚達也,桑原健輔,高橋宏明,塚本健二,Home,112,51,6,45.5,12.75,26,16,0,61.5,5,1.25,79,1,13,16,2.2,79,24.0,28.0,48.1
112,51,6,45.5,12.75,26,16,0,61.5,5,1.25,79,1,13,16,2.2,79,24.0,28.0,48.1,121,2018-11-10,2018,11,10,,墨田区総合体育館,大分三好ヴァイセアドラー,FC東京,小川貴史,小林尚登,1,3,4,Lose,78,96,95,13:00,14:51,1800,大塚達也,桑原健輔,高橋宏明,塚本健二,Away,105,58,6,55.2,14.50,14,3,2,21.4,9,2.25,95,5,13,25,8.4,65,30.0,19.0,60.8
110,55,6,50.0,13.75,18,5,3,27.8,5,1.25,93,3,16,21,4.6,76,33.0,16.0,53.9,120,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,豊田合成トレフェルサ,サントリーサンバーズ,ﾄﾐｰﾃｨﾘｶｲﾈﾝ,ｸﾘｽﾃｨｱﾝｿﾝｱﾝﾃﾞｨｯｼｭ,1,3,4,Lose,92,99,116,16:00,18:05,1000,伊藤博之,國頭亮太,山本和良,中倉文菜,Home,108,61,7,56.5,15.25,33,16,4,48.5,8,2.00,98,5,19,25,6.6,76,38.0,15.0,59.9
108,61,7,56.5,15.25,33,16,4,48.5,8,2.00,98,5,19,25,6.6,76,38.0,15.0,59.9,120,2018-11-10,2018,11,10,,刈谷市総合運動公園体育館（ウィングアリーナ刈谷）,サントリーサンバーズ,豊田合成トレフェルサ,荻野正二,酒井大祐,3,1,4,Win,99,92,116,16:00,18:05,1000,伊藤博之,國頭亮太,山本和良,中倉文菜,Away,110,55,6,50.0,13.75,18,5,3,27.8,5,1.25,93,3,16,21,4.6,76,33.0,16.0,53.9
92,43,8,46.7,10.75,14,7,3,50.0,13,3.25,97,4,11,23,7.2,64,34.0,15.0,64.8,122,2018-11-10,2018,11,10,,墨田区総合体育館,パナソニックパンサーズ,堺ブレイザーズ,川村慎二,古田博幸,3,1,4,Win,98,88,101,16:00,18:00,1600,大塚達也,浅井唯由,原啓之,森健,Home,125,56,10,44.8,14.00,25,9,3,36.0,4,1.00,89,6,23,15,4.5,85,33.0,28.0,55.3
