 ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
AA/S   ,    0.4312,    0.980,    0.440, 0.660,   -1.490,    2.353
AE/S   ,   -0.3480,    0.150,   -2.314, 0.021,   -0.643,   -0.053
ASucc% ,    1.1991,    1.159,    1.034, 0.301,   -1.073,    3.471
AP/S   ,    1.1072,    1.130,    0.980, 0.327,   -1.108,    3.322
BAA    ,    0.8557,    0.573,    1.494, 0.135,   -0.267,    1.979
BAP    ,   -0.9473,    0.651,   -1.454, 0.146,   -2.224,    0.329
BAE    ,   -0.0756,    0.147,   -0.513, 0.608,   -0.364,    0.213
BASucc%,    0.5933,    0.408,    1.453, 0.146,   -0.207,    1.394
BP     ,    3.3455,    0.564,    5.929, 0.000,    2.240,    4.451
BP/S   ,   -1.8702,    0.552,   -3.385, 0.001,   -2.953,   -0.787
SVP    ,    2.6346,    0.459,    5.746, 0.000,    1.736,    3.533
SVE    ,   -0.7345,    0.252,   -2.911, 0.004,   -1.229,   -0.240
SVx    ,    2.0590,    0.355,    5.799, 0.000,    1.363,    2.755
SVEff% ,   -2.5253,    0.658,   -3.841, 0.000,   -3.814,   -1.237
Rx     ,   -3.6147,    0.333,  -10.841, 0.000,   -4.268,   -2.961
Rg     ,   -1.0267,    0.152,   -6.751, 0.000,   -1.325,   -0.729
RSucc% ,    3.0160,    0.272,   11.073, 0.000,    2.482,    3.550